bond_id,issue_date,maturity_date,coupon_rate,face_value,price,current_yield,rating
1,2013-01-31,2023-09-05,0.0539,5000,4996.77,0.0539,B
2,2013-12-30,2022-06-03,0.0334,10000,10975.57,0.0304,A
3,2012-05-10,2017-09-09,0.0197,1000,927.29,0.0212,A
4,2013-07-18,2027-11-23,0.0656,5000,5195.14,0.0631,AAA
5,2013-02-04,2026-04-28,0.0534,1000,980.86,0.0544,BBB
6,2012-12-31,2026-04-26,0.0473,5000,4928.2,0.048,BB
7,2014-09-21,2019-04-17,0.0726,1000,1043.52,0.0696,AA
8,2012-11-10,2024-10-14,0.0652,10000,10384.87,0.0628,BBB
9,2014-06-27,2020-08-17,0.0206,5000,5491.26,0.0188,
10,2010-05-02,2018-01-10,0.0318,5000,4628.39,0.0344,AA
11,2011-04-12,2024-10-29,0.0274,1000,920.82,0.0298,A
12,2013-05-23,2023-03-18,0.0621,1000,1044.87,0.0594,AA
13,2010-11-27,2021-03-09,0.0123,5000,5078.39,0.0121,BBB
14,2014-01-22,2025-08-11,0.0499,10000,9548.32,0.0523,A
15,2010-03-29,2021-08-04,0.0634,1000,915.88,0.0692,A
16,2013-10-28,2016-10-31,0.0714,1000,917.13,0.0779,BBB
17,2013-01-28,2018-06-22,0.0339,1000,1078.84,0.0314,AA
18,2012-05-21,2018-02-05,0.0675,5000,4691.87,0.0719,B
19,2014-08-15,2028-12-16,0.0177,5000,4823.37,0.0183,A
20,2010-05-11,2025-04-21,0.0693,5000,4726.66,0.0733,AAA
21,2014-08-13,2019-05-09,0.0189,5000,4855.0,0.0195,BBB
22,2013-08-25,2021-04-13,0.0378,10000,9138.85,0.0414,BBB
23,2012-02-09,2019-09-17,0.0658,10000,10038.12,0.0656,AA
24,2010-12-10,2014-04-07,0.0205,5000,4567.61,0.0224,BB
25,2014-02-24,2019-06-03,0.026,10000,10600.71,0.0245,B
26,2013-12-08,2026-12-30,0.0606,1000,946.74,0.064,AA
27,2012-03-16,2018-12-14,0.0604,1000,1008.0,0.0599,
28,2011-01-21,2016-01-30,0.0549,1000,1076.02,0.051,AAA
29,2013-04-30,2016-08-23,0.0586,5000,5150.88,0.0569,AA
30,2012-08-13,2023-05-21,0.048,1000,1006.59,0.0477,AAA
31,2010-10-04,2016-11-26,0.0276,10000,9648.67,0.0286,BB
32,2013-03-30,2021-07-12,0.0342,5000,4833.0,0.0354,BBB
33,2011-04-05,2017-01-10,0.0227,10000,10338.97,0.022,AAA
34,2013-08-30,2021-03-20,0.0736,1000,1098.83,0.067,AA
35,2010-01-22,2016-01-07,0.0508,1000,1032.37,0.0492,A
36,2010-09-10,2015-02-03,0.0381,1000,1011.56,0.0377,AAA
